amount,amount_to_avg_ratio,amount_to_max_ratio,is_new_beneficiary,beneficiary_age_days,beneficiary_verified,txn_hour,is_unusual_hour,txn_frequency_24h,txn_velocity_1h,user_avg_amount,user_median_amount,user_max_amount,user_total_txns,user_typical_ben_count,user_txn_freq_per_week,days_since_last_txn,is_new_device,device_trusted,recent_password_change,recent_sim_swap,recent_email_change,recent_pin_change,account_events_48h,recent_beneficiary_additions_24h,hive_recipient_flagged,hive_signal_severity,hive_hours_since_alert,hive_scam_category_match,recipient_suspicious_neighbor_count,is_fraud
29602.37,5.96,1.73,1,79,1,2,0,0,2,4968.31,235.17,17067.56,199,5,5.8,0,1,0,1,0,0,0,1,1,0,0,-1,0,0,0
224.4,0.19,0.06,0,224,1,3,0,5,0,1184.56,1090.55,3798.61,103,3,5.9,9,1,0,0,0,0,0,1,0,0,0,-1,0,0,0
184.93,0.12,0.03,0,86,1,2,0,4,2,1584.83,818.8,7263.76,130,14,7.1,10,1,0,0,0,0,0,2,1,0,0,-1,0,1,0
16066.02,4.03,1.0,0,80,0,21,0,0,1,3986.01,424.66,16145.32,177,17,2.1,5,0,1,0,0,0,0,0,2,0,0,-1,0,1,0
135476.76,6.86,1.11,0,669,1,15,0,4,1,19747.29,254.33,121929.08,279,10,6.3,12,0,0,0,1,0,0,0,1,0,0,-1,0,2,0
997.86,1.69,0.51,1,364,1,20,0,2,0,590.24,501.87,1941.65,176,6,2.5,5,0,1,0,0,1,0,2,2,0,0,-1,0,2,0
69221.39,3.27,1.09,0,555,1,15,0,3,1,21196.68,343.27,63590.04,218,6,6.0,11,0,0,0,0,0,0,0,2,0,0,-1,0,0,0
77191.39,6.87,1.11,0,717,1,0,0,1,2,11242.4,354.34,69472.25,265,7,2.2,13,1,0,0,0,0,0,0,0,0,0,-1,0,1,0
349.06,0.26,0.1,0,31,1,11,0,3,0,1332.63,424.08,3484.4,212,17,4.5,10,0,1,1,0,0,0,2,2,0,0,-1,0,1,0
77159.39,3.9,1.11,0,645,1,23,0,5,1,19768.95,907.47,69443.45,299,3,1.2,0,0,0,0,0,0,0,2,2,0,0,-1,0,2,0
222.75,0.11,0.04,0,232,0,0,0,0,3,1960.91,1749.71,5938.37,137,15,2.6,11,0,0,0,0,0,0,1,1,0,0,-1,0,1,0
